,arrival_date,revenue,year,month,month_day,tm_yday
2015-7-1,2015-7-1,20311.186621487224,2015,7,1,182
2015-7-2,2015-7-2,16530.64527655626,2015,7,2,183
2015-7-3,2015-7-3,12966.714163965145,2015,7,3,184
2015-7-4,2015-7-4,17480.654256395064,2015,7,4,185
2015-7-5,2015-7-5,19591.458477872922,2015,7,5,186
2015-7-6,2015-7-6,21441.591688269396,2015,7,6,187
2015-7-7,2015-7-7,10930.818639041861,2015,7,7,188
2015-7-8,2015-7-8,12148.62265110177,2015,7,8,189
2015-7-9,2015-7-9,10274.330081330403,2015,7,9,190
2015-7-10,2015-7-10,23705.82834330749,2015,7,10,191
2015-7-11,2015-7-11,27216.100985806654,2015,7,11,192
2015-7-12,2015-7-12,22639.35050534954,2015,7,12,193
2015-7-13,2015-7-13,20809.522842088558,2015,7,13,194
2015-7-14,2015-7-14,15760.514650828876,2015,7,14,195
2015-7-15,2015-7-15,12779.152461695016,2015,7,15,196
2015-7-16,2015-7-16,24603.23136796614,2015,7,16,197
2015-7-17,2015-7-17,35427.85498972696,2015,7,17,198
2015-7-18,2015-7-18,37014.80697211941,2015,7,18,199
2015-7-19,2015-7-19,20388.25535229562,2015,7,19,200
2015-7-20,2015-7-20,36553.06021588758,2015,7,20,201
2015-7-21,2015-7-21,15595.747583205817,2015,7,21,202
2015-7-22,2015-7-22,11770.801310812767,2015,7,22,203
2015-7-23,2015-7-23,20703.367788638607,2015,7,23,204
2015-7-24,2015-7-24,29244.41701814653,2015,7,24,205
2015-7-25,2015-7-25,38455.3770356743,2015,7,25,206
2015-7-26,2015-7-26,24547.049655372877,2015,7,26,207
2015-7-27,2015-7-27,32740.541391664407,2015,7,27,208
2015-7-28,2015-7-28,10592.904345709625,2015,7,28,209
2015-7-29,2015-7-29,13586.897246127914,2015,7,29,210
2015-7-30,2015-7-30,21683.680859939035,2015,7,30,211
2015-7-31,2015-7-31,21995.142119564356,2015,7,31,212
2015-8-1,2015-8-1,56063.34636191028,2015,8,1,213
2015-8-2,2015-8-2,34373.7072320263,2015,8,2,214
2015-8-3,2015-8-3,39216.17410731946,2015,8,3,215
2015-8-4,2015-8-4,21667.1238146444,2015,8,4,216
2015-8-5,2015-8-5,20127.66903681461,2015,8,5,217
2015-8-6,2015-8-6,18103.36386570396,2015,8,6,218
2015-8-7,2015-8-7,27375.02060707519,2015,8,7,219
2015-8-8,2015-8-8,45576.44264591417,2015,8,8,220
2015-8-9,2015-8-9,38533.62310982913,2015,8,9,221
2015-8-10,2015-8-10,61565.40665298722,2015,8,10,222
2015-8-11,2015-8-11,30231.30542399514,2015,8,11,223
2015-8-12,2015-8-12,18156.516874513676,2015,8,12,224
2015-8-13,2015-8-13,25411.05557899987,2015,8,13,225
2015-8-14,2015-8-14,44756.70441327587,2015,8,14,226
2015-8-15,2015-8-15,57467.68830448066,2015,8,15,227
2015-8-16,2015-8-16,43211.29006118145,2015,8,16,228
2015-8-17,2015-8-17,52351.728160194965,2015,8,17,229
2015-8-18,2015-8-18,31621.367862933137,2015,8,18,230
2015-8-19,2015-8-19,21525.465696222436,2015,8,19,231
2015-8-20,2015-8-20,25384.35786252221,2015,8,20,232
2015-8-21,2015-8-21,34922.43985157718,2015,8,21,233
2015-8-22,2015-8-22,55828.07877705886,2015,8,22,234
2015-8-23,2015-8-23,41304.86127629634,2015,8,23,235
2015-8-24,2015-8-24,32840.34524860759,2015,8,24,236
2015-8-25,2015-8-25,22720.482327616544,2015,8,25,237
2015-8-26,2015-8-26,15190.620579302558,2015,8,26,238
2015-8-27,2015-8-27,17194.888687753475,2015,8,27,239
2015-8-28,2015-8-28,23928.31690629207,2015,8,28,240
2015-8-29,2015-8-29,38179.15697377861,2015,8,29,241
2015-8-30,2015-8-30,22212.566387814346,2015,8,30,242
2015-8-31,2015-8-31,27539.892477099118,2015,8,31,243
2015-9-1,2015-9-1,32384.297255097117,2015,9,1,244
2015-9-2,2015-9-2,18347.807054051413,2015,9,2,245
2015-9-3,2015-9-3,27024.96103429047,2015,9,3,246
2015-9-4,2015-9-4,38389.14506161273,2015,9,4,247
2015-9-5,2015-9-5,33333.598855540025,2015,9,5,248
2015-9-6,2015-9-6,49654.8719335249,2015,9,6,249
2015-9-7,2015-9-7,38682.991533971355,2015,9,7,250
2015-9-8,2015-9-8,21547.47166939155,2015,9,8,251
2015-9-9,2015-9-9,29085.881777854065,2015,9,9,252
2015-9-10,2015-9-10,22049.96471854014,2015,9,10,253
2015-9-11,2015-9-11,24300.713686313138,2015,9,11,254
2015-9-12,2015-9-12,29244.090433206933,2015,9,12,255
2015-9-13,2015-9-13,24100.12624768711,2015,9,13,256
2015-9-14,2015-9-14,30857.466245436026,2015,9,14,257
2015-9-15,2015-9-15,22274.47293923934,2015,9,15,258
2015-9-16,2015-9-16,24921.358930889433,2015,9,16,259
2015-9-17,2015-9-17,27880.26338709299,2015,9,17,260
2015-9-18,2015-9-18,32960.37344616042,2015,9,18,261
2015-9-19,2015-9-19,42005.22027187576,2015,9,19,262
2015-9-20,2015-9-20,32589.66228575313,2015,9,20,263
2015-9-21,2015-9-21,36578.05260832585,2015,9,21,264
2015-9-22,2015-9-22,22464.941979415285,2015,9,22,265
2015-9-23,2015-9-23,36414.75062545088,2015,9,23,266
2015-9-24,2015-9-24,25263.745695542297,2015,9,24,267
2015-9-25,2015-9-25,95364.35669256675,2015,9,25,268
2015-9-26,2015-9-26,37017.844137073036,2015,9,26,269
2015-9-27,2015-9-27,19342.48250627867,2015,9,27,270
2015-9-28,2015-9-28,20698.406517082767,2015,9,28,271
2015-9-29,2015-9-29,13113.854901452669,2015,9,29,272
2015-9-30,2015-9-30,18953.552262937956,2015,9,30,273
2015-10-1,2015-10-1,24218.035752881406,2015,10,1,274
2015-10-2,2015-10-2,37311.23021016217,2015,10,2,275
2015-10-3,2015-10-3,16518.297751002017,2015,10,3,276
2015-10-4,2015-10-4,34147.11381873165,2015,10,4,277
2015-10-5,2015-10-5,28061.105139885753,2015,10,5,278
2015-10-6,2015-10-6,27096.777292977607,2015,10,6,279
2015-10-7,2015-10-7,26187.263659301254,2015,10,7,280
2015-10-8,2015-10-8,13826.550421198282,2015,10,8,281
2015-10-9,2015-10-9,30166.934730781126,2015,10,9,282
2015-10-10,2015-10-10,23071.412685792522,2015,10,10,283
2015-10-11,2015-10-11,16959.715015201335,2015,10,11,284
2015-10-12,2015-10-12,32983.67447315557,2015,10,12,285
2015-10-13,2015-10-13,17185.269796203644,2015,10,13,286
2015-10-14,2015-10-14,10714.44077527489,2015,10,14,287
2015-10-15,2015-10-15,28044.68180226048,2015,10,15,288
2015-10-16,2015-10-16,26298.888208980356,2015,10,16,289
2015-10-17,2015-10-17,12347.192483410561,2015,10,17,290
2015-10-18,2015-10-18,32363.364691420058,2015,10,18,291
2015-10-19,2015-10-19,42844.31559726249,2015,10,19,292
2015-10-20,2015-10-20,22136.060040865916,2015,10,20,293
