arrival_date,revenue
2015/7/1,20311.18662
2015/7/2,16530.64528
2015/7/3,12966.71416
2015/7/4,17480.65426
2015/7/5,19591.45848
2015/7/6,21441.59169
2015/7/7,10930.81864
2015/7/8,12148.62265
2015/7/9,10274.33008
2015/7/10,23705.82834
2015/7/11,27216.10099
2015/7/12,22639.35051
2015/7/13,20809.52284
2015/7/14,15760.51465
2015/7/15,12779.15246
2015/7/16,24603.23137
2015/7/17,35427.85499
2015/7/18,37014.80697
2015/7/19,20388.25535
2015/7/20,36553.06022
2015/7/21,15595.74758
2015/7/22,11770.80131
2015/7/23,20703.36779
2015/7/24,29244.41702
2015/7/25,38455.37704
2015/7/26,24547.04966
2015/7/27,32740.54139
2015/7/28,10592.90435
2015/7/29,13586.89725
2015/7/30,21683.68086
2015/7/31,21995.14212
2015/8/1,56063.34636
2015/8/2,34373.70723
2015/8/3,39216.17411
2015/8/4,21667.12381
2015/8/5,20127.66904
2015/8/6,18103.36387
2015/8/7,27375.02061
2015/8/8,45576.44265
2015/8/9,38533.62311
2015/8/10,61565.40665
2015/8/11,30231.30542
2015/8/12,18156.51687
2015/8/13,25411.05558
2015/8/14,44756.70441
2015/8/15,57467.6883
2015/8/16,43211.29006
2015/8/17,52351.72816
2015/8/18,31621.36786
2015/8/19,21525.4657
2015/8/20,25384.35786
2015/8/21,34922.43985
2015/8/22,55828.07878
2015/8/23,41304.86128
2015/8/24,32840.34525
2015/8/25,22720.48233
2015/8/26,15190.62058
2015/8/27,17194.88869
2015/8/28,23928.31691
2015/8/29,38179.15697
2015/8/30,22212.56639
2015/8/31,27539.89248
2015/9/1,32384.29726
2015/9/2,18347.80705
2015/9/3,27024.96103
2015/9/4,38389.14506
2015/9/5,33333.59886
2015/9/6,49654.87193
2015/9/7,38682.99153
2015/9/8,21547.47167
2015/9/9,29085.88178
2015/9/10,22049.96472
2015/9/11,24300.71369
2015/9/12,29244.09043
2015/9/13,24100.12625
2015/9/14,30857.46625
2015/9/15,22274.47294
2015/9/16,24921.35893
2015/9/17,27880.26339
2015/9/18,32960.37345
2015/9/19,42005.22027
2015/9/20,32589.66229
2015/9/21,36578.05261
2015/9/22,22464.94198
2015/9/23,36414.75063
2015/9/24,25263.7457
2015/9/25,95364.35669
2015/9/26,37017.84414
2015/9/27,19342.48251
2015/9/28,20698.40652
2015/9/29,13113.8549
2015/9/30,18953.55226
2015/10/1,24218.03575
2015/10/2,37311.23021
2015/10/3,16518.29775
2015/10/4,34147.11382
2015/10/5,28061.10514
2015/10/6,27096.77729
2015/10/7,26187.26366
2015/10/8,13826.55042
2015/10/9,30166.93473
2015/10/10,23071.41269
2015/10/11,16959.71502
2015/10/12,32983.67447
2015/10/13,17185.2698
2015/10/14,10714.44078
2015/10/15,28044.6818
2015/10/16,26298.88821
2015/10/17,12347.19248
2015/10/18,32363.36469
2015/10/19,42844.3156
2015/10/20,22136.06004
2015/10/21,15542.30859
2015/10/22,17380.84504
2015/10/23,21025.32355
2015/10/24,17515.96434
2015/10/25,42398.76558
2015/10/26,16775.03445
2015/10/27,7235.040153
2015/10/28,28877.18646
2015/10/29,10354.58511
2015/10/30,9708.883835
2015/10/31,13257.65037
2015/11/1,11593.5075
2015/11/2,12553.45089
2015/11/3,8196.691363
2015/11/4,7904.533787
2015/11/5,9720.225488
2015/11/6,15824.93042
2015/11/7,15827.55681
2015/11/8,11859.70008
2015/11/9,8153.508753
2015/11/10,6111.632031
2015/11/11,7011.926693
2015/11/12,6836.819297
2015/11/13,3824.549354
2015/11/14,6137.953449
2015/11/15,4501.461766
2015/11/16,6898.150955
2015/11/17,7497.349887
2015/11/18,26146.8724
2015/11/19,5141.427294
2015/11/20,19546.2691
2015/11/21,7079.294669
2015/11/22,9202.44392
2015/11/23,28219.13215
2015/11/24,7344.878946
2015/11/25,4079.493634
2015/11/26,5357.86054
2015/11/27,14635.39553
2015/11/28,4768.008278
2015/11/29,3292.764064
2015/11/30,6495.086549
2015/12/1,3546.278033
2015/12/2,4658.168659
2015/12/3,8817.465658
2015/12/4,20498.32415
2015/12/5,60522.3615
2015/12/6,8416.90688
2015/12/7,1827.779689
2015/12/8,2762.625988
2015/12/9,7247.421477
2015/12/10,4178.473805
2015/12/11,4209.640315
